N,L,R0,M,T,Util,Idle,Collisions
5,20,2,6,50000,92.49199999999999,5.798,855
6,20,2,6,50000,91.646,6.198,1078
7,20,2,6,50000,91.814,5.908,1139
8,20,2,6,50000,91.118,6.248,1317
9,20,2,6,50000,90.916,6.2379999999999995,1423
10,20,2,6,50000,90.908,6.132,1480
11,20,2,6,50000,90.586,6.192,1611
12,20,2,6,50000,90.24799999999999,6.318,1717
13,20,2,6,50000,89.73,6.5,1885
14,20,2,6,50000,89.56,6.529999999999999,1955
15,20,2,6,50000,89.29,6.572,2069
16,20,2,6,50000,88.932,6.696000000000001,2186
17,20,2,6,50000,88.414,6.954000000000001,2316
18,20,2,6,50000,88.554,6.776,2335
19,20,2,6,50000,88.378,6.808,2407
20,20,2,6,50000,88.29599999999999,6.768000000000001,2468
21,20,2,6,50000,87.512,7.148000000000001,2670
22,20,2,6,50000,87.79400000000001,6.872,2667
23,20,2,6,50000,87.116,7.184,2850
24,20,2,6,50000,87.17200000000001,7.092,2868
25,20,2,6,50000,87.176,7.04,2892
26,20,2,6,50000,86.33,7.4079999999999995,3131
27,20,2,6,50000,86.994,7.005999999999999,3000
28,20,2,6,50000,86.534,7.185999999999999,3140
29,20,2,6,50000,86.08,7.424,3248
30,20,2,6,50000,86.024,7.424,3276
31,20,2,6,50000,85.914,7.39,3348
32,20,2,6,50000,85.97,7.32,3355
33,20,2,6,50000,85.18599999999999,7.714,3550
34,20,2,6,50000,85.944,7.256,3400
35,20,2,6,50000,85.584,7.37,3523
36,20,2,6,50000,85.464,7.396,3570
37,20,2,6,50000,84.832,7.636,3766
38,20,2,6,50000,85.04599999999999,7.521999999999999,3716
39,20,2,6,50000,84.98,7.494000000000001,3763
40,20,2,6,50000,85.25,7.33,3710
41,20,2,6,50000,85.48,7.204000000000001,3658
42,20,2,6,50000,85.52,7.192,3644
43,20,2,6,50000,85.28,7.248,3736
44,20,2,6,50000,85.262,7.2379999999999995,3750
45,20,2,6,50000,85.33,7.1819999999999995,3744
46,20,2,6,50000,85.358,7.166,3738
47,20,2,6,50000,85.062,7.256,3841
48,20,2,6,50000,85.128,7.199999999999999,3836
49,20,2,6,50000,85.026,7.2379999999999995,3868
50,20,2,6,50000,84.666,7.362,3986
51,20,2,6,50000,85.36,7.031999999999999,3804
52,20,2,6,50000,85.17,7.08,3875
53,20,2,6,50000,85.268,7.042,3845
54,20,2,6,50000,84.98599999999999,7.116,3949
