N,L,R0,M,T,Util,Idle,Collisions
5,20,8,6,50000,88.184,10.696,560
6,20,8,6,50000,88.268,10.488,622
7,20,8,6,50000,88.618,10.032,675
8,20,8,6,50000,88.562,9.924,757
9,20,8,6,50000,88.52799999999999,9.93,771
10,20,8,6,50000,88.28399999999999,9.942,887
11,20,8,6,50000,88.386,9.708,953
12,20,8,6,50000,87.902,10.07,1014
13,20,8,6,50000,88.004,9.898,1049
14,20,8,6,50000,87.938,9.802,1130
15,20,8,6,50000,87.874,9.834,1146
16,20,8,6,50000,87.876,9.698,1213
17,20,8,6,50000,88.156,9.398,1223
18,20,8,6,50000,87.92,9.501999999999999,1289
19,20,8,6,50000,87.67399999999999,9.596,1365
20,20,8,6,50000,87.51400000000001,9.652,1417
21,20,8,6,50000,87.392,9.700000000000001,1454
22,20,8,6,50000,87.53999999999999,9.508,1476
23,20,8,6,50000,87.292,9.67,1519
24,20,8,6,50000,87.498,9.475999999999999,1513
25,20,8,6,50000,87.024,9.78,1598
26,20,8,6,50000,86.888,9.788,1662
27,20,8,6,50000,86.732,9.864,1702
28,20,8,6,50000,86.8,9.656,1772
29,20,8,6,50000,86.48,9.905999999999999,1807
30,20,8,6,50000,86.994,9.46,1773
31,20,8,6,50000,86.488,9.758,1877
32,20,8,6,50000,86.354,9.788,1929
33,20,8,6,50000,86.30799999999999,9.778,1957
34,20,8,6,50000,86.568,9.578000000000001,1927
35,20,8,6,50000,86.2,9.782,2009
36,20,8,6,50000,85.76,10.0,2120
37,20,8,6,50000,86.024,9.66,2158
38,20,8,6,50000,86.008,9.744,2124
39,20,8,6,50000,85.74000000000001,9.847999999999999,2206
40,20,8,6,50000,85.078,10.278,2322
41,20,8,6,50000,85.556,9.908,2268
42,20,8,6,50000,85.27799999999999,10.11,2306
43,20,8,6,50000,85.386,9.962,2326
44,20,8,6,50000,85.042,10.094,2432
45,20,8,6,50000,84.96000000000001,10.100000000000001,2470
46,20,8,6,50000,84.286,10.542,2586
47,20,8,6,50000,84.512,10.304,2592
48,20,8,6,50000,84.49600000000001,10.314,2595
49,20,8,6,50000,84.41199999999999,10.32,2634
50,20,8,6,50000,84.026,10.508000000000001,2733
51,20,8,6,50000,84.05,10.444,2753
52,20,8,6,50000,83.932,10.474,2797
53,20,8,6,50000,83.89999999999999,10.458,2821
54,20,8,6,50000,83.968,10.36,2836
55,20,8,6,50000,83.28,10.76,2980
56,20,8,6,50000,83.34,10.668,2996
57,20,8,6,50000,83.108,10.870000000000001,3011
58,20,8,6,50000,83.178,10.793999999999999,3014
59,20,8,6,50000,83.19,10.69,3060
60,20,8,6,50000,82.834,10.86,3153
61,20,8,6,50000,82.706,10.879999999999999,3207
62,20,8,6,50000,82.818,10.822,3180
63,20,8,6,50000,82.262,11.097999999999999,3320
64,20,8,6,50000,81.88600000000001,11.315999999999999,3399
65,20,8,6,50000,81.65400000000001,11.354000000000001,3496
66,20,8,6,50000,81.932,11.192,3438
67,20,8,6,50000,82.08,11.112,3404
68,20,8,6,50000,81.602,11.35,3524
69,20,8,6,50000,81.95400000000001,11.101999999999999,3472
70,20,8,6,50000,81.322,11.462,3608
71,20,8,6,50000,80.938,11.623999999999999,3719
72,20,8,6,50000,81.2,11.43,3685
73,20,8,6,50000,81.11,11.468,3711
74,20,8,6,50000,80.96600000000001,11.514000000000001,3760
75,20,8,6,50000,80.92200000000001,11.558,3760
76,20,8,6,50000,80.92,11.5,3790
77,20,8,6,50000,80.648,11.574,3889
78,20,8,6,50000,80.166,11.876000000000001,3979
79,20,8,6,50000,79.768,12.021999999999998,4105
80,20,8,6,50000,80.052,11.856,4046
81,20,8,6,50000,79.96,11.854000000000001,4093
82,20,8,6,50000,79.322,12.264,4207
83,20,8,6,50000,79.67999999999999,11.93,4195
84,20,8,6,50000,79.24,12.24,4260
85,20,8,6,50000,79.06800000000001,12.31,4311
86,20,8,6,50000,79.24,12.214,4273
87,20,8,6,50000,78.712,12.396,4446
88,20,8,6,50000,78.866,12.34,4397
89,20,8,6,50000,79.12,12.139999999999999,4370
90,20,8,6,50000,78.24,12.584000000000001,4588
91,20,8,6,50000,78.912,12.206,4441
92,20,8,6,50000,77.318,13.072000000000001,4805
93,20,8,6,50000,77.56,12.937999999999999,4751
94,20,8,6,50000,77.72,12.781999999999998,4749
95,20,8,6,50000,78.462,12.404,4567
96,20,8,6,50000,78.026,12.58,4697
97,20,8,6,50000,77.976,12.558,4733
98,20,8,6,50000,77.44,12.886000000000001,4837
99,20,8,6,50000,77.266,12.902,4916
100,20,8,6,50000,76.55,13.303999999999998,5073
101,20,8,6,50000,76.49000000000001,13.276,5117
102,20,8,6,50000,76.848,13.068,5042
103,20,8,6,50000,76.062,13.452,5243
104,20,8,6,50000,76.602,13.154,5122
105,20,8,6,50000,75.89,13.547999999999998,5281
106,20,8,6,50000,76.55999999999999,13.132,5154
107,20,8,6,50000,75.4,13.728000000000002,5436
108,20,8,6,50000,76.242,13.297999999999998,5230
109,20,8,6,50000,75.44800000000001,13.675999999999998,5438
110,20,8,6,50000,75.764,13.496,5370
111,20,8,6,50000,76.03999999999999,13.34,5310
112,20,8,6,50000,74.862,13.916,5611
113,20,8,6,50000,75.32,13.624,5528
114,20,8,6,50000,75.48,13.544,5488
115,20,8,6,50000,75.28,13.597999999999999,5561
116,20,8,6,50000,75.64,13.482,5439
117,20,8,6,50000,74.764,13.919999999999998,5658
118,20,8,6,50000,74.16199999999999,14.146,5846
119,20,8,6,50000,74.772,13.814000000000002,5707
120,20,8,6,50000,74.48,13.977999999999998,5771
121,20,8,6,50000,73.38799999999999,14.496,6058
122,20,8,6,50000,73.988,14.166,5923
123,20,8,6,50000,74.2,14.030000000000001,5885
124,20,8,6,50000,74.312,13.972000000000001,5858
125,20,8,6,50000,73.52,14.394000000000002,6043
126,20,8,6,50000,72.68,14.77,6275
127,20,8,6,50000,73.854,14.146,6000
128,20,8,6,50000,72.718,14.748,6267
129,20,8,6,50000,73.68,14.19,6065
130,20,8,6,50000,73.962,14.063999999999998,5987
131,20,8,6,50000,72.63,14.718,6326
132,20,8,6,50000,73.054,14.499999999999998,6223
133,20,8,6,50000,72.24199999999999,14.912,6423
134,20,8,6,50000,73.08,14.418000000000001,6251
135,20,8,6,50000,72.636,14.704,6330
136,20,8,6,50000,73.56200000000001,14.146,6146
137,20,8,6,50000,72.366,14.762,6436
138,20,8,6,50000,72.14,14.876000000000001,6492
139,20,8,6,50000,72.48,14.67,6425
140,20,8,6,50000,72.442,14.67,6444
