N,L,R0,M,T,Util,Idle,Collisions
5,20,4,6,50000,90.00399999999999,8.504000000000001,746
6,20,4,6,50000,90.388,7.944,834
7,20,4,6,50000,89.64999999999999,8.4,975
8,20,4,6,50000,89.58,8.322000000000001,1049
9,20,4,6,50000,89.546,8.174,1140
10,20,4,6,50000,89.51599999999999,8.12,1182
11,20,4,6,50000,89.3,8.19,1255
12,20,4,6,50000,89.202,8.108,1345
13,20,4,6,50000,89.16,8.05,1395
14,20,4,6,50000,88.806,8.166,1514
15,20,4,6,50000,88.55,8.262,1594
16,20,4,6,50000,88.03999999999999,8.52,1720
17,20,4,6,50000,88.306,8.251999999999999,1721
18,20,4,6,50000,87.854,8.454,1846
19,20,4,6,50000,87.96000000000001,8.3,1870
20,20,4,6,50000,87.96000000000001,8.234,1903
21,20,4,6,50000,87.44,8.491999999999999,2034
22,20,4,6,50000,87.24199999999999,8.564,2097
23,20,4,6,50000,87.08,8.527999999999999,2196
24,20,4,6,50000,86.88,8.632,2244
25,20,4,6,50000,87.03999999999999,8.512,2224
26,20,4,6,50000,86.382,8.824,2397
27,20,4,6,50000,86.226,8.884,2445
28,20,4,6,50000,85.792,9.098,2555
29,20,4,6,50000,86.084,8.806,2555
30,20,4,6,50000,85.306,9.216000000000001,2739
31,20,4,6,50000,85.52,9.052,2714
32,20,4,6,50000,85.20400000000001,9.178,2809
33,20,4,6,50000,85.038,9.203999999999999,2879
34,20,4,6,50000,84.73,9.314,2978
35,20,4,6,50000,84.68,9.306000000000001,3007
36,20,4,6,50000,84.17,9.533999999999999,3148
37,20,4,6,50000,84.308,9.454,3119
38,20,4,6,50000,84.53,9.246,3112
39,20,4,6,50000,84.042,9.488000000000001,3235
40,20,4,6,50000,83.804,9.533999999999999,3331
41,20,4,6,50000,84.208,9.276,3258
42,20,4,6,50000,83.26400000000001,9.693999999999999,3521
43,20,4,6,50000,82.69,10.05,3630
44,20,4,6,50000,82.6,10.058,3671
45,20,4,6,50000,83.174,9.71,3558
46,20,4,6,50000,82.938,9.8,3631
47,20,4,6,50000,82.222,10.082,3848
48,20,4,6,50000,82.084,10.113999999999999,3901
49,20,4,6,50000,81.91199999999999,10.192,3948
50,20,4,6,50000,81.662,10.294,4022
51,20,4,6,50000,81.774,10.156,4035
52,20,4,6,50000,81.568,10.264,4084
53,20,4,6,50000,81.47999999999999,10.286,4117
54,20,4,6,50000,80.96600000000001,10.502,4266
55,20,4,6,50000,81.85,10.032,4059
56,20,4,6,50000,81.158,10.354,4244
57,20,4,6,50000,80.804,10.476,4360
58,20,4,6,50000,81.006,10.367999999999999,4313
59,20,4,6,50000,80.36,10.648,4496
60,20,4,6,50000,80.662,10.446,4446
61,20,4,6,50000,80.244,10.668,4544
62,20,4,6,50000,80.42,10.528,4526
63,20,4,6,50000,79.84,10.782,4689
64,20,4,6,50000,79.72399999999999,10.82,4728
65,20,4,6,50000,79.77,10.768,4731
66,20,4,6,50000,79.362,10.966,4836
