N,L,R0,M,T,Util,Idle,Collisions
5,60,8,6,50000,95.76400000000001,3.836,200
6,60,8,6,50000,96.114,3.4680000000000004,209
7,60,8,6,50000,95.72800000000001,3.782,245
8,60,8,6,50000,95.76400000000001,3.666,285
9,60,8,6,50000,95.88600000000001,3.526,294
10,60,8,6,50000,95.66799999999999,3.696,318
11,60,8,6,50000,95.748,3.55,351
12,60,8,6,50000,95.77,3.496,367
13,60,8,6,50000,95.87,3.382,374
14,60,8,6,50000,95.892,3.3300000000000005,389
15,60,8,6,50000,95.64399999999999,3.5180000000000002,419
16,60,8,6,50000,95.562,3.5520000000000005,443
17,60,8,6,50000,95.44200000000001,3.634,462
18,60,8,6,50000,95.602,3.4619999999999997,468
19,60,8,6,50000,95.664,3.382,477
20,60,8,6,50000,95.44,3.5380000000000003,511
21,60,8,6,50000,95.356,3.562,541
22,60,8,6,50000,95.416,3.4979999999999998,543
23,60,8,6,50000,95.492,3.374,567
24,60,8,6,50000,95.392,3.474,567
25,60,8,6,50000,95.61800000000001,3.3259999999999996,528
26,60,8,6,50000,95.106,3.628,633
27,60,8,6,50000,95.14,3.5839999999999996,638
28,60,8,6,50000,95.35,3.396,627
29,60,8,6,50000,95.062,3.6020000000000003,668
30,60,8,6,50000,95.294,3.45,628
31,60,8,6,50000,95.018,3.6060000000000003,688
32,60,8,6,50000,94.98400000000001,3.608,704
33,60,8,6,50000,95.218,3.422,680
34,60,8,6,50000,94.916,3.618,733
35,60,8,6,50000,94.914,3.662,712
36,60,8,6,50000,94.81,3.6220000000000003,784
37,60,8,6,50000,94.85,3.6020000000000003,774
38,60,8,6,50000,94.688,3.682,815
39,60,8,6,50000,94.722,3.6740000000000004,802
40,60,8,6,50000,94.826,3.5680000000000005,803
41,60,8,6,50000,94.628,3.692,840
42,60,8,6,50000,94.604,3.678,859
43,60,8,6,50000,94.75200000000001,3.5479999999999996,850
44,60,8,6,50000,94.544,3.676,890
45,60,8,6,50000,94.574,3.678,874
46,60,8,6,50000,94.21000000000001,3.8739999999999997,958
47,60,8,6,50000,94.194,3.9,953
48,60,8,6,50000,94.28999999999999,3.7900000000000005,960
49,60,8,6,50000,94.116,3.8859999999999997,999
50,60,8,6,50000,94.116,3.872,1006
51,60,8,6,50000,94.01,3.95,1020
52,60,8,6,50000,94.05799999999999,3.882,1030
53,60,8,6,50000,93.594,4.146,1130
54,60,8,6,50000,93.72200000000001,4.076,1101
55,60,8,6,50000,93.43,4.222,1174
56,60,8,6,50000,94.08,3.8240000000000003,1048
57,60,8,6,50000,93.72,4.014,1133
58,60,8,6,50000,93.628,4.082,1145
59,60,8,6,50000,93.464,4.148000000000001,1194
60,60,8,6,50000,93.52000000000001,4.077999999999999,1201
61,60,8,6,50000,93.47999999999999,4.108,1206
62,60,8,6,50000,93.084,4.326,1295
63,60,8,6,50000,93.24,4.21,1275
64,60,8,6,50000,93.42,4.154,1213
65,60,8,6,50000,93.484,4.062,1227
66,60,8,6,50000,93.188,4.25,1281
67,60,8,6,50000,93.048,4.3180000000000005,1317
68,60,8,6,50000,92.932,4.36,1354
69,60,8,6,50000,92.92399999999999,4.35,1363
70,60,8,6,50000,93.12,4.198,1341
71,60,8,6,50000,93.206,4.1419999999999995,1326
72,60,8,6,50000,92.75999999999999,4.406000000000001,1417
73,60,8,6,50000,92.618,4.484,1449
74,60,8,6,50000,92.562,4.516,1461
75,60,8,6,50000,92.706,4.390000000000001,1452
76,60,8,6,50000,92.116,4.694,1595
77,60,8,6,50000,92.4,4.566,1517
78,60,8,6,50000,92.42399999999999,4.542,1517
79,60,8,6,50000,92.4,4.516,1542
80,60,8,6,50000,92.31200000000001,4.5600000000000005,1564
81,60,8,6,50000,92.274,4.569999999999999,1578
82,60,8,6,50000,91.994,4.723999999999999,1641
83,60,8,6,50000,92.30199999999999,4.5600000000000005,1569
84,60,8,6,50000,92.23,4.572,1599
85,60,8,6,50000,91.97,4.7,1665
86,60,8,6,50000,91.404,5.013999999999999,1791
87,60,8,6,50000,91.94600000000001,4.688,1683
88,60,8,6,50000,92.06800000000001,4.622,1655
89,60,8,6,50000,91.256,5.061999999999999,1841
90,60,8,6,50000,91.44,4.932,1814
91,60,8,6,50000,91.56,4.874,1783
92,60,8,6,50000,91.7,4.814,1743
93,60,8,6,50000,91.262,5.01,1864
94,60,8,6,50000,91.286,5.0040000000000004,1855
95,60,8,6,50000,91.244,4.978,1889
96,60,8,6,50000,91.108,5.074,1909
97,60,8,6,50000,91.00399999999999,5.152,1922
98,60,8,6,50000,91.19,4.992,1909
99,60,8,6,50000,90.876,5.204000000000001,1960
100,60,8,6,50000,90.862,5.19,1974
101,60,8,6,50000,90.58,5.334,2043
102,60,8,6,50000,91.12400000000001,5.045999999999999,1915
103,60,8,6,50000,90.848,5.164,1994
104,60,8,6,50000,91.044,5.086,1935
105,60,8,6,50000,91.204,4.9399999999999995,1928
