N,L,R0,M,T,Util,Idle,Collisions
5,80,8,6,50000,96.894,2.836,135
6,80,8,6,50000,96.722,2.942,168
7,80,8,6,50000,96.87400000000001,2.794,166
8,80,8,6,50000,96.82,2.77,205
9,80,8,6,50000,96.828,2.718,227
10,80,8,6,50000,96.87400000000001,2.618,254
11,80,8,6,50000,96.872,2.608,260
12,80,8,6,50000,96.87,2.634,248
13,80,8,6,50000,96.69200000000001,2.686,311
14,80,8,6,50000,96.756,2.662,291
15,80,8,6,50000,96.84,2.5260000000000002,317
16,80,8,6,50000,96.708,2.626,333
17,80,8,6,50000,96.698,2.604,349
18,80,8,6,50000,96.81,2.5340000000000003,328
19,80,8,6,50000,96.578,2.65,386
20,80,8,6,50000,96.368,2.8000000000000003,416
21,80,8,6,50000,96.762,2.5260000000000002,356
22,80,8,6,50000,96.588,2.5860000000000003,413
23,80,8,6,50000,96.444,2.686,435
24,80,8,6,50000,96.584,2.588,414
25,80,8,6,50000,96.298,2.8080000000000003,447
26,80,8,6,50000,96.354,2.7119999999999997,467
27,80,8,6,50000,96.46000000000001,2.654,443
28,80,8,6,50000,95.952,2.986,531
29,80,8,6,50000,96.394,2.648,479
30,80,8,6,50000,96.32,2.6839999999999997,498
31,80,8,6,50000,96.334,2.638,514
32,80,8,6,50000,96.268,2.6759999999999997,528
33,80,8,6,50000,96.10600000000001,2.794,550
34,80,8,6,50000,96.27,2.638,546
35,80,8,6,50000,95.98400000000001,2.81,603
36,80,8,6,50000,96.104,2.73,583
37,80,8,6,50000,96.178,2.656,583
38,80,8,6,50000,96.174,2.638,594
39,80,8,6,50000,95.792,2.916,646
40,80,8,6,50000,95.922,2.812,633
41,80,8,6,50000,95.91,2.8160000000000003,637
42,80,8,6,50000,95.87599999999999,2.802,661
43,80,8,6,50000,95.832,2.822,673
44,80,8,6,50000,95.946,2.71,672
45,80,8,6,50000,95.77,2.866,682
46,80,8,6,50000,95.46,3.056,742
47,80,8,6,50000,95.674,2.864,731
48,80,8,6,50000,95.298,3.098,802
49,80,8,6,50000,95.604,2.8920000000000003,752
50,80,8,6,50000,95.55,2.946,752
51,80,8,6,50000,95.482,2.962,778
52,80,8,6,50000,95.57600000000001,2.8819999999999997,771
53,80,8,6,50000,95.19,3.11,850
54,80,8,6,50000,95.49,2.924,793
55,80,8,6,50000,95.416,2.96,812
56,80,8,6,50000,95.434,2.96,803
57,80,8,6,50000,95.162,3.092,873
58,80,8,6,50000,95.114,3.1220000000000003,882
59,80,8,6,50000,95.02199999999999,3.144,917
60,80,8,6,50000,95.134,3.076,895
61,80,8,6,50000,95.19,3.006,902
62,80,8,6,50000,94.692,3.3000000000000003,1004
63,80,8,6,50000,94.806,3.228,983
64,80,8,6,50000,94.834,3.2399999999999998,963
65,80,8,6,50000,94.514,3.398,1044
66,80,8,6,50000,94.742,3.25,1004
67,80,8,6,50000,94.706,3.272,1011
68,80,8,6,50000,94.726,3.272,1001
69,80,8,6,50000,94.39800000000001,3.4479999999999995,1077
70,80,8,6,50000,94.818,3.184,999
71,80,8,6,50000,94.39999999999999,3.402,1099
72,80,8,6,50000,94.602,3.298,1050
73,80,8,6,50000,94.56,3.3259999999999996,1057
74,80,8,6,50000,94.55799999999999,3.292,1075
75,80,8,6,50000,94.134,3.512,1177
76,80,8,6,50000,94.348,3.386,1133
77,80,8,6,50000,94.39999999999999,3.36,1120
78,80,8,6,50000,94.228,3.456,1158
79,80,8,6,50000,94.08,3.52,1200
80,80,8,6,50000,94.37,3.376,1127
81,80,8,6,50000,94.018,3.566,1208
82,80,8,6,50000,93.81,3.64,1275
83,80,8,6,50000,93.95,3.576,1237
84,80,8,6,50000,93.748,3.6799999999999997,1286
85,80,8,6,50000,94.452,3.2939999999999996,1127
86,80,8,6,50000,93.716,3.6839999999999997,1300
87,80,8,6,50000,94.242,3.366,1196
88,80,8,6,50000,93.60000000000001,3.724,1338
89,80,8,6,50000,93.772,3.636,1296
90,80,8,6,50000,93.838,3.55,1306
91,80,8,6,50000,94.038,3.476,1243
92,80,8,6,50000,93.658,3.6519999999999997,1345
93,80,8,6,50000,93.592,3.6799999999999997,1364
94,80,8,6,50000,93.368,3.852,1390
95,80,8,6,50000,93.474,3.734,1396
96,80,8,6,50000,93.672,3.642,1343
97,80,8,6,50000,93.366,3.816,1409
98,80,8,6,50000,93.296,3.8280000000000003,1438
99,80,8,6,50000,93.44,3.73,1415
100,80,8,6,50000,92.928,3.9960000000000004,1538
101,80,8,6,50000,92.838,4.06,1551
102,80,8,6,50000,92.73400000000001,4.09,1588
103,80,8,6,50000,93.23,3.818,1476
104,80,8,6,50000,93.118,3.9,1491
105,80,8,6,50000,92.882,3.9919999999999995,1563
106,80,8,6,50000,93.048,3.904,1524
107,80,8,6,50000,92.474,4.204,1661
108,80,8,6,50000,92.34599999999999,4.262,1696
109,80,8,6,50000,92.744,4.042,1607
110,80,8,6,50000,92.562,4.1419999999999995,1648
111,80,8,6,50000,92.322,4.256,1711
112,80,8,6,50000,92.22,4.314,1733
113,80,8,6,50000,92.834,3.962,1602
114,80,8,6,50000,92.824,3.948,1614
115,80,8,6,50000,92.07,4.38,1775
116,80,8,6,50000,92.324,4.24,1718
117,80,8,6,50000,92.348,4.202,1725
118,80,8,6,50000,91.968,4.404,1814
119,80,8,6,50000,92.324,4.228,1724
120,80,8,6,50000,92.852,3.918,1615
121,80,8,6,50000,91.726,4.488,1893
122,80,8,6,50000,92.264,4.232,1752
123,80,8,6,50000,91.34400000000001,4.707999999999999,1974
124,80,8,6,50000,91.718,4.508,1887
125,80,8,6,50000,92.0,4.342,1829
126,80,8,6,50000,91.322,4.698,1990
127,80,8,6,50000,91.35,4.692,1979
128,80,8,6,50000,91.728,4.466,1903
129,80,8,6,50000,91.714,4.484,1901
130,80,8,6,50000,91.758,4.462,1890
131,80,8,6,50000,91.166,4.752,2041
132,80,8,6,50000,91.616,4.494,1945
133,80,8,6,50000,91.432,4.582,1993
134,80,8,6,50000,91.024,4.796,2090
135,80,8,6,50000,90.606,5.01,2192
136,80,8,6,50000,91.622,4.472,1953
137,80,8,6,50000,90.88000000000001,4.843999999999999,2138
138,80,8,6,50000,90.85600000000001,4.882000000000001,2131
139,80,8,6,50000,91.10000000000001,4.744000000000001,2078
140,80,8,6,50000,91.12599999999999,4.74,2067
141,80,8,6,50000,91.158,4.7,2071
142,80,8,6,50000,90.596,4.976,2214
143,80,8,6,50000,91.174,4.666,2080
144,80,8,6,50000,90.72200000000001,4.894,2192
145,80,8,6,50000,91.156,4.696,2074
146,80,8,6,50000,90.622,4.972,2203
147,80,8,6,50000,90.888,4.806,2153
148,80,8,6,50000,90.054,5.228,2359
149,80,8,6,50000,90.878,4.772,2175
150,80,8,6,50000,91.376,4.553999999999999,2035
151,80,8,6,50000,90.756,4.862,2191
152,80,8,6,50000,91.52799999999999,4.488,1992
153,80,8,6,50000,90.62,4.9,2240
154,80,8,6,50000,91.154,4.638,2104
155,80,8,6,50000,90.794,4.818,2194
156,80,8,6,50000,90.574,4.936,2245
157,80,8,6,50000,91.10000000000001,4.644,2128
158,80,8,6,50000,90.74799999999999,4.8340000000000005,2209
159,80,8,6,50000,90.548,4.944,2254
160,80,8,6,50000,90.2,5.0840000000000005,2358
161,80,8,6,50000,90.318,5.0360000000000005,2323
162,80,8,6,50000,90.58,4.904,2258
163,80,8,6,50000,89.89200000000001,5.288,2410
164,80,8,6,50000,90.584,4.8919999999999995,2262
165,80,8,6,50000,90.032,5.154,2407
166,80,8,6,50000,90.456,4.944,2300
167,80,8,6,50000,90.29,5.034000000000001,2338
168,80,8,6,50000,89.75999999999999,5.3,2470
169,80,8,6,50000,90.436,4.946,2309
170,80,8,6,50000,89.956,5.196,2424
171,80,8,6,50000,89.848,5.252,2450
172,80,8,6,50000,90.562,4.884,2277
173,80,8,6,50000,89.946,5.18,2437
174,80,8,6,50000,90.4,4.954,2323
175,80,8,6,50000,90.058,5.118,2412
176,80,8,6,50000,88.97800000000001,5.646,2688
177,80,8,6,50000,89.62400000000001,5.346,2515
178,80,8,6,50000,89.33,5.468,2601
179,80,8,6,50000,89.432,5.4,2584
180,80,8,6,50000,89.92,5.172000000000001,2454
181,80,8,6,50000,90.362,4.946,2346
182,80,8,6,50000,89.92,5.178,2451
183,80,8,6,50000,90.424,4.91,2333
184,80,8,6,50000,89.846,5.192,2481
185,80,8,6,50000,89.888,5.164,2474
186,80,8,6,50000,89.74600000000001,5.236,2509
187,80,8,6,50000,89.44,5.38,2590
188,80,8,6,50000,89.75999999999999,5.24,2500
189,80,8,6,50000,90.122,5.032,2423
190,80,8,6,50000,89.85,5.174,2488
191,80,8,6,50000,89.972,5.118,2455
192,80,8,6,50000,89.668,5.274,2529
193,80,8,6,50000,89.424,5.386,2595
194,80,8,6,50000,90.022,5.072,2453
195,80,8,6,50000,89.596,5.29,2557
196,80,8,6,50000,90.13600000000001,5.0040000000000004,2430
197,80,8,6,50000,88.952,5.588,2730
198,80,8,6,50000,89.364,5.402,2617
199,80,8,6,50000,88.794,5.678,2764
200,80,8,6,50000,89.44,5.356000000000001,2602
201,80,8,6,50000,89.698,5.232,2535
202,80,8,6,50000,89.84400000000001,5.152,2502
203,80,8,6,50000,89.302,5.414,2642
204,80,8,6,50000,89.64800000000001,5.242,2555
205,80,8,6,50000,89.226,5.432,2671
206,80,8,6,50000,89.956,5.082,2481
207,80,8,6,50000,89.178,5.464,2679
208,80,8,6,50000,89.986,5.058,2478
209,80,8,6,50000,90.018,5.044,2469
210,80,8,6,50000,89.51,5.296,2597
211,80,8,6,50000,89.25,5.4239999999999995,2663
212,80,8,6,50000,89.572,5.2540000000000004,2587
213,80,8,6,50000,89.28,5.402,2659
214,80,8,6,50000,90.256,4.914000000000001,2415
215,80,8,6,50000,89.056,5.518,2713
216,80,8,6,50000,89.462,5.298,2620
217,80,8,6,50000,89.92999999999999,5.0680000000000005,2501
218,80,8,6,50000,89.77000000000001,5.167999999999999,2531
219,80,8,6,50000,88.946,5.536,2759
220,80,8,6,50000,88.936,5.568,2748
221,80,8,6,50000,90.404,4.832,2382
222,80,8,6,50000,89.244,5.402,2677
223,80,8,6,50000,89.566,5.242,2596
224,80,8,6,50000,90.316,4.882000000000001,2401
225,80,8,6,50000,89.50399999999999,5.264,2616
226,80,8,6,50000,90.30799999999999,4.862,2415
227,80,8,6,50000,89.396,5.324,2640
228,80,8,6,50000,89.038,5.508,2727
229,80,8,6,50000,89.564,5.226,2605
230,80,8,6,50000,88.466,5.7860000000000005,2874
231,80,8,6,50000,90.094,4.9639999999999995,2471
232,80,8,6,50000,90.148,4.93,2461
233,80,8,6,50000,89.12,5.454,2713
234,80,8,6,50000,89.63799999999999,5.16,2601
235,80,8,6,50000,89.822,5.098,2540
236,80,8,6,50000,90.08,4.974,2473
237,80,8,6,50000,90.71000000000001,4.642,2324
238,80,8,6,50000,90.42999999999999,4.782,2394
239,80,8,6,50000,90.24,4.8759999999999994,2442
240,80,8,6,50000,89.244,5.351999999999999,2702
241,80,8,6,50000,89.60000000000001,5.186,2607
242,80,8,6,50000,89.432,5.29,2639
243,80,8,6,50000,90.062,4.9639999999999995,2487
244,80,8,6,50000,88.822,5.578,2800
245,80,8,6,50000,89.584,5.194,2611
246,80,8,6,50000,89.58,5.216,2602
247,80,8,6,50000,89.042,5.448,2755
248,80,8,6,50000,90.316,4.824,2430
249,80,8,6,50000,90.082,4.9399999999999995,2489
250,80,8,6,50000,89.53999999999999,5.196,2632
251,80,8,6,50000,89.88199999999999,5.044,2537
252,80,8,6,50000,89.92,5.0040000000000004,2538
253,80,8,6,50000,90.104,4.918,2489
254,80,8,6,50000,89.994,4.978,2514
255,80,8,6,50000,89.588,5.174,2619
256,80,8,6,50000,90.664,4.646,2345
257,80,8,6,50000,90.212,4.874,2457
258,80,8,6,50000,90.094,4.918,2494
259,80,8,6,50000,90.048,4.942,2505
260,80,8,6,50000,89.92,5.002,2539
261,80,8,6,50000,89.568,5.204000000000001,2614
262,80,8,6,50000,89.55,5.1819999999999995,2634
263,80,8,6,50000,90.072,4.938,2495
264,80,8,6,50000,89.754,5.07,2588
265,80,8,6,50000,89.68199999999999,5.138,2590
266,80,8,6,50000,90.486,4.723999999999999,2395
267,80,8,6,50000,89.442,5.236,2661
268,80,8,6,50000,89.44,5.2299999999999995,2665
269,80,8,6,50000,88.882,5.508,2805
270,80,8,6,50000,89.524,5.186,2645
271,80,8,6,50000,89.646,5.118,2618
