N,L,R0,M,T,Util,Idle,Collisions
5,20,1,6,50000,94.16799999999999,3.92,956
6,20,1,6,50000,93.83,3.9280000000000004,1121
7,20,1,6,50000,93.072,4.278,1325
8,20,1,6,50000,92.72,4.256,1512
9,20,1,6,50000,92.696,4.216,1544
10,20,1,6,50000,91.89,4.506,1802
11,20,1,6,50000,92.096,4.326,1789
12,20,1,6,50000,91.61399999999999,4.482,1952
13,20,1,6,50000,91.404,4.458,2069
14,20,1,6,50000,91.202,4.496,2151
15,20,1,6,50000,90.776,4.65,2287
16,20,1,6,50000,91.2,4.364,2218
17,20,1,6,50000,90.13,4.828,2521
18,20,1,6,50000,90.558,4.562,2440
19,20,1,6,50000,90.45,4.58,2485
20,20,1,6,50000,89.884,4.752,2682
21,20,1,6,50000,90.8,4.274,2463
22,20,1,6,50000,90.778,4.332,2445
23,20,1,6,50000,90.042,4.566,2696
24,20,1,6,50000,89.8,4.67,2765
25,20,1,6,50000,90.352,4.342,2653
26,20,1,6,50000,90.108,4.406000000000001,2743
27,20,1,6,50000,89.77199999999999,4.5,2864
28,20,1,6,50000,89.79599999999999,4.476,2864
29,20,1,6,50000,89.912,4.408,2840
30,20,1,6,50000,89.84,4.412,2874
31,20,1,6,50000,89.988,4.31,2851
32,20,1,6,50000,89.84,4.338,2911
33,20,1,6,50000,89.986,4.262,2876
34,20,1,6,50000,89.838,4.263999999999999,2949
35,20,1,6,50000,89.484,4.442,3037
36,20,1,6,50000,89.24,4.476,3142
37,20,1,6,50000,89.538,4.396,3033
38,20,1,6,50000,89.64999999999999,4.252000000000001,3049
39,20,1,6,50000,89.792,4.188,3010
40,20,1,6,50000,89.3,4.3740000000000006,3163
41,20,1,6,50000,89.51599999999999,4.266,3109
42,20,1,6,50000,89.456,4.292,3126
43,20,1,6,50000,89.458,4.18,3181
44,20,1,6,50000,89.684,4.144,3086
45,20,1,6,50000,89.49000000000001,4.188,3161
46,20,1,6,50000,89.28399999999999,4.236,3240
47,20,1,6,50000,89.16,4.262,3289
48,20,1,6,50000,89.436,4.146,3209
49,20,1,6,50000,88.934,4.332,3367
50,20,1,6,50000,89.51400000000001,4.066,3210
51,20,1,6,50000,89.854,3.916,3115
52,20,1,6,50000,89.282,4.144,3287
53,20,1,6,50000,88.89,4.226,3442
54,20,1,6,50000,88.508,4.358,3567
55,20,1,6,50000,88.92,4.2139999999999995,3433
56,20,1,6,50000,89.206,4.09,3352
57,20,1,6,50000,89.092,4.134,3387
58,20,1,6,50000,88.6,4.266,3567
59,20,1,6,50000,88.838,4.21,3476
60,20,1,6,50000,88.696,4.234,3535
61,20,1,6,50000,88.49000000000001,4.262,3624
62,20,1,6,50000,88.4,4.284000000000001,3658
63,20,1,6,50000,88.39399999999999,4.256,3675
64,20,1,6,50000,88.622,4.138,3620
65,20,1,6,50000,88.854,4.102,3522
66,20,1,6,50000,88.466,4.206,3664
67,20,1,6,50000,88.432,4.188,3690
68,20,1,6,50000,88.078,4.274,3824
69,20,1,6,50000,88.50200000000001,4.152,3673
70,20,1,6,50000,88.64,4.109999999999999,3625
71,20,1,6,50000,88.388,4.138,3737
72,20,1,6,50000,87.81,4.328,3931
73,20,1,6,50000,88.4,4.124,3738
74,20,1,6,50000,87.846,4.298,3928
75,20,1,6,50000,88.12,4.198,3841
76,20,1,6,50000,88.134,4.1579999999999995,3854
77,20,1,6,50000,88.67,4.0120000000000005,3659
78,20,1,6,50000,87.804,4.244,3976
79,20,1,6,50000,87.588,4.324,4044
80,20,1,6,50000,87.58,4.322,4049
81,20,1,6,50000,87.968,4.16,3936
82,20,1,6,50000,88.144,4.093999999999999,3881
83,20,1,6,50000,87.18,4.426,4197
84,20,1,6,50000,88.044,4.092,3932
85,20,1,6,50000,87.53800000000001,4.266,4098
86,20,1,6,50000,86.884,4.47,4323
87,20,1,6,50000,87.76,4.188,4026
88,20,1,6,50000,87.38,4.266,4177
89,20,1,6,50000,87.628,4.228,4072
90,20,1,6,50000,87.866,4.108,4013
91,20,1,6,50000,86.776,4.466,4379
92,20,1,6,50000,87.47,4.244,4143
93,20,1,6,50000,87.21799999999999,4.292,4245
94,20,1,6,50000,87.268,4.278,4227
95,20,1,6,50000,87.506,4.216,4139
96,20,1,6,50000,86.92800000000001,4.33,4371
