N,L,R0,M,T,Util,Idle,Collisions
5,40,8,6,50000,93.71000000000001,5.698,296
6,40,8,6,50000,94.08999999999999,5.236,337
7,40,8,6,50000,93.774,5.502,362
8,40,8,6,50000,93.848,5.308,422
9,40,8,6,50000,93.444,5.636,460
10,40,8,6,50000,93.794,5.234,486
11,40,8,6,50000,93.99,5.022,494
12,40,8,6,50000,93.612,5.303999999999999,542
13,40,8,6,50000,93.796,5.11,547
14,40,8,6,50000,93.72399999999999,5.122,577
15,40,8,6,50000,93.726,5.078,598
16,40,8,6,50000,93.676,5.0680000000000005,628
17,40,8,6,50000,93.57,5.0840000000000005,673
18,40,8,6,50000,93.34,5.248,706
19,40,8,6,50000,93.362,5.188000000000001,725
20,40,8,6,50000,93.304,5.208,744
21,40,8,6,50000,93.474,5.018000000000001,754
22,40,8,6,50000,93.268,5.11,811
23,40,8,6,50000,93.472,4.9239999999999995,802
24,40,8,6,50000,93.00399999999999,5.2459999999999996,875
25,40,8,6,50000,93.03,5.186,892
26,40,8,6,50000,93.124,5.106,885
27,40,8,6,50000,93.28,4.932,894
28,40,8,6,50000,92.84599999999999,5.232,961
29,40,8,6,50000,92.95,5.118,966
30,40,8,6,50000,92.58999999999999,5.376,1017
31,40,8,6,50000,93.026,5.032,971
32,40,8,6,50000,92.512,5.378,1055
33,40,8,6,50000,92.2,5.56,1120
34,40,8,6,50000,92.632,5.234,1067
35,40,8,6,50000,92.636,5.218,1073
36,40,8,6,50000,92.584,5.26,1078
37,40,8,6,50000,92.55600000000001,5.18,1132
38,40,8,6,50000,92.34599999999999,5.3,1177
39,40,8,6,50000,92.106,5.526,1184
40,40,8,6,50000,92.168,5.406,1213
41,40,8,6,50000,91.776,5.636,1294
42,40,8,6,50000,91.82000000000001,5.542,1319
43,40,8,6,50000,91.81,5.55,1320
44,40,8,6,50000,91.648,5.6579999999999995,1347
45,40,8,6,50000,91.714,5.558,1364
46,40,8,6,50000,91.56,5.638,1401
47,40,8,6,50000,91.92,5.382,1349
48,40,8,6,50000,91.36,5.72,1460
49,40,8,6,50000,91.096,5.832,1536
50,40,8,6,50000,91.552,5.578,1435
51,40,8,6,50000,91.43,5.638,1466
52,40,8,6,50000,91.108,5.81,1541
53,40,8,6,50000,91.05799999999999,5.798,1572
54,40,8,6,50000,91.218,5.694,1544
55,40,8,6,50000,90.718,5.9479999999999995,1667
56,40,8,6,50000,90.838,5.896,1633
57,40,8,6,50000,90.94200000000001,5.8340000000000005,1612
58,40,8,6,50000,90.738,5.904,1679
59,40,8,6,50000,90.888,5.816000000000001,1648
60,40,8,6,50000,90.436,6.008,1778
61,40,8,6,50000,89.962,6.334,1852
62,40,8,6,50000,90.41799999999999,6.053999999999999,1764
63,40,8,6,50000,90.4,6.038,1781
64,40,8,6,50000,90.33200000000001,6.038,1815
65,40,8,6,50000,90.16199999999999,6.13,1854
66,40,8,6,50000,90.4,5.972,1814
67,40,8,6,50000,89.914,6.212,1937
68,40,8,6,50000,89.81,6.29,1950
69,40,8,6,50000,89.472,6.465999999999999,2031
70,40,8,6,50000,89.68,6.370000000000001,1975
71,40,8,6,50000,89.27199999999999,6.516,2106
72,40,8,6,50000,89.83,6.166,2002
73,40,8,6,50000,89.826,6.232,1971
74,40,8,6,50000,89.732,6.239999999999999,2014
75,40,8,6,50000,89.508,6.364,2064
76,40,8,6,50000,89.268,6.444,2144
77,40,8,6,50000,89.24600000000001,6.451999999999999,2151
78,40,8,6,50000,89.12400000000001,6.526,2175
79,40,8,6,50000,89.214,6.436,2175
80,40,8,6,50000,89.164,6.4719999999999995,2182
81,40,8,6,50000,89.02,6.534,2223
82,40,8,6,50000,88.438,6.8260000000000005,2368
83,40,8,6,50000,88.536,6.764,2350
84,40,8,6,50000,89.122,6.47,2204
85,40,8,6,50000,88.48,6.728000000000001,2396
86,40,8,6,50000,88.312,6.84,2424
87,40,8,6,50000,88.46199999999999,6.7379999999999995,2400
88,40,8,6,50000,88.058,6.94,2501
89,40,8,6,50000,88.412,6.764,2412
90,40,8,6,50000,88.604,6.668,2364
91,40,8,6,50000,87.48599999999999,7.244000000000001,2635
92,40,8,6,50000,88.126,6.882000000000001,2496
93,40,8,6,50000,87.74,7.058000000000001,2601
94,40,8,6,50000,87.898,6.954000000000001,2574
95,40,8,6,50000,87.252,7.298,2725
96,40,8,6,50000,87.6,7.127999999999999,2636
97,40,8,6,50000,87.68,7.088,2616
98,40,8,6,50000,86.924,7.4319999999999995,2822
99,40,8,6,50000,86.992,7.376,2816
100,40,8,6,50000,86.562,7.608,2915
101,40,8,6,50000,86.53800000000001,7.62,2921
102,40,8,6,50000,87.29,7.212000000000001,2749
103,40,8,6,50000,87.07000000000001,7.303999999999999,2813
104,40,8,6,50000,86.56,7.556,2942
105,40,8,6,50000,86.16,7.768,3036
106,40,8,6,50000,86.24000000000001,7.7,3030
107,40,8,6,50000,86.42800000000001,7.654,2959
108,40,8,6,50000,86.29400000000001,7.6499999999999995,3028
109,40,8,6,50000,85.76,7.9,3170
110,40,8,6,50000,86.568,7.46,2986
111,40,8,6,50000,85.6,8.01,3195
112,40,8,6,50000,86.24000000000001,7.59,3085
113,40,8,6,50000,85.586,7.951999999999999,3231
114,40,8,6,50000,85.914,7.788,3149
115,40,8,6,50000,85.76,7.858,3191
116,40,8,6,50000,85.69,7.85,3230
117,40,8,6,50000,85.44,7.9799999999999995,3290
118,40,8,6,50000,85.68,7.882,3219
119,40,8,6,50000,85.148,8.108,3372
120,40,8,6,50000,85.252,8.07,3339
121,40,8,6,50000,84.852,8.274,3437
122,40,8,6,50000,85.36,7.992000000000001,3324
123,40,8,6,50000,84.80199999999999,8.290000000000001,3454
124,40,8,6,50000,85.76,7.746,3247
125,40,8,6,50000,84.414,8.432,3577
126,40,8,6,50000,83.91999999999999,8.684,3698
127,40,8,6,50000,84.696,8.298,3503
128,40,8,6,50000,83.856,8.694,3725
129,40,8,6,50000,85.396,7.928,3338
130,40,8,6,50000,84.81400000000001,8.196,3495
131,40,8,6,50000,84.232,8.49,3639
132,40,8,6,50000,83.848,8.67,3741
133,40,8,6,50000,84.276,8.450000000000001,3637
134,40,8,6,50000,84.588,8.236,3588
135,40,8,6,50000,84.226,8.44,3667
136,40,8,6,50000,83.732,8.7,3784
137,40,8,6,50000,83.528,8.798,3837
