N,L,R0,M,T,Util,Idle,Collisions
5,100,8,6,50000,97.292,2.442,133
6,100,8,6,50000,97.426,2.3,137
7,100,8,6,50000,97.526,2.158,158
8,100,8,6,50000,97.514,2.1919999999999997,147
9,100,8,6,50000,97.624,2.04,168
10,100,8,6,50000,97.47,2.122,204
11,100,8,6,50000,97.49600000000001,2.102,201
12,100,8,6,50000,97.59400000000001,1.9980000000000002,204
13,100,8,6,50000,97.36,2.1999999999999997,220
14,100,8,6,50000,97.258,2.244,249
15,100,8,6,50000,97.502,2.012,243
16,100,8,6,50000,97.5,1.982,259
17,100,8,6,50000,97.428,2.044,264
18,100,8,6,50000,97.294,2.136,285
19,100,8,6,50000,97.198,2.194,304
20,100,8,6,50000,97.268,2.136,298
21,100,8,6,50000,97.14399999999999,2.19,333
22,100,8,6,50000,97.162,2.164,337
23,100,8,6,50000,97.09400000000001,2.206,350
24,100,8,6,50000,97.288,2.046,333
25,100,8,6,50000,97.23,2.096,337
26,100,8,6,50000,96.916,2.274,405
27,100,8,6,50000,97.172,2.086,371
28,100,8,6,50000,97.052,2.156,396
29,100,8,6,50000,96.99799999999999,2.198,402
30,100,8,6,50000,96.882,2.228,445
31,100,8,6,50000,96.898,2.2560000000000002,423
32,100,8,6,50000,96.828,2.2640000000000002,454
33,100,8,6,50000,97.038,2.104,429
34,100,8,6,50000,97.08200000000001,2.048,435
35,100,8,6,50000,96.818,2.244,469
36,100,8,6,50000,96.58200000000001,2.376,521
37,100,8,6,50000,96.646,2.31,522
38,100,8,6,50000,96.664,2.338,499
39,100,8,6,50000,96.89999999999999,2.1340000000000003,483
40,100,8,6,50000,96.696,2.2800000000000002,512
41,100,8,6,50000,96.67,2.274,528
42,100,8,6,50000,96.738,2.2319999999999998,515
43,100,8,6,50000,96.56400000000001,2.3539999999999996,541
44,100,8,6,50000,96.732,2.2159999999999997,526
45,100,8,6,50000,96.518,2.326,578
46,100,8,6,50000,96.418,2.3800000000000003,601
47,100,8,6,50000,96.28999999999999,2.4819999999999998,614
48,100,8,6,50000,96.43599999999999,2.37,597
49,100,8,6,50000,96.548,2.29,581
50,100,8,6,50000,96.444,2.342,607
51,100,8,6,50000,96.50800000000001,2.276,608
52,100,8,6,50000,96.408,2.342,625
53,100,8,6,50000,96.342,2.37,644
54,100,8,6,50000,96.02000000000001,2.55,715
55,100,8,6,50000,96.214,2.434,676
56,100,8,6,50000,96.17,2.476,677
57,100,8,6,50000,96.124,2.46,708
58,100,8,6,50000,96.084,2.508,704
59,100,8,6,50000,96.08,2.444,738
60,100,8,6,50000,96.004,2.5180000000000002,739
61,100,8,6,50000,95.66,2.7279999999999998,806
62,100,8,6,50000,95.87400000000001,2.6100000000000003,758
63,100,8,6,50000,95.954,2.5420000000000003,752
