N,L,R0,M,T,Util,Idle,Collisions
304,20,16,6,50000,63.224000000000004,19.468,8654
305,20,16,6,50000,63.4,19.294,8653
306,20,16,6,50000,61.85000000000001,20.05,9050
307,20,16,6,50000,62.87199999999999,19.576,8776
308,20,16,6,50000,62.63999999999999,19.698,8831
309,20,16,6,50000,62.28,19.817999999999998,8951
310,20,16,6,50000,62.676,19.644000000000002,8840
311,20,16,6,50000,61.72,20.104,9088
312,20,16,6,50000,61.112,20.419999999999998,9234
313,20,16,6,50000,62.978,19.470000000000002,8776
314,20,16,6,50000,61.797999999999995,20.03,9086
315,20,16,6,50000,62.28,19.817999999999998,8951
316,20,16,6,50000,62.44,19.714000000000002,8923
317,20,16,6,50000,61.76199999999999,20.048,9095
318,20,16,6,50000,62.839999999999996,19.494,8833
319,20,16,6,50000,61.468,20.202,9165
320,20,16,6,50000,62.036,19.878,9043
321,20,16,6,50000,62.217999999999996,19.784,8999
322,20,16,6,50000,61.162000000000006,20.28,9279
323,20,16,6,50000,61.29599999999999,20.233999999999998,9235
324,20,16,6,50000,63.239999999999995,19.224,8768
325,20,16,6,50000,60.895999999999994,20.424,9340
326,20,16,6,50000,62.08,19.82,9050
327,20,16,6,50000,61.14000000000001,20.302,9279
328,20,16,6,50000,60.146,20.794,9530
329,20,16,6,50000,61.24000000000001,20.246,9257
330,20,16,6,50000,59.64,21.058,9651
331,20,16,6,50000,60.84,20.4,9380
332,20,16,6,50000,62.08,19.826,9047
333,20,16,6,50000,60.58,20.485999999999997,9467
334,20,16,6,50000,61.292,20.188,9260
335,20,16,6,50000,60.773999999999994,20.432,9397
336,20,16,6,50000,60.64000000000001,20.47,9445
337,20,16,6,50000,60.512,20.574,9457
338,20,16,6,50000,61.324,20.11,9283
339,20,16,6,50000,58.330000000000005,21.616,10027
340,20,16,6,50000,60.488,20.535999999999998,9488
341,20,16,6,50000,60.96,20.291999999999998,9374
342,20,16,6,50000,60.331999999999994,20.599999999999998,9534
343,20,16,6,50000,61.026,20.26,9357
